Team,SalaryGuaranteed ($),MainColor,SecondaryColor
Inter Miami,39419071.0,#231F20,#F7B5CD
Toronto FC,31672886.0,#AB1E2D,#3f4743
LA Galaxy,25038692.0,#00245d,#ffd200
LAFC,20841863.0,#000000,#C39e6d
Chicago Fire,20415828.0,#121F48,#B3272D
Atlanta United,19847184.0,#80000A,#A19060
Seattle Sounders FC,19185352.0,#236192,#658D1B
Austin FC,19038551.0,#000000,#00b140
Houston Dynamo,17459127.0,#F68712,#8DC6ED
D.C. United,17302163.0,#ee1a39,#231f20
New England Revolution,17013587.0,#E51938,#002B5C
Nashville SC,16990388.0,#ECE83A,#1F1646
Portland Timbers,16215874.0,#004812,#EAE827
Columbus Crew SC,15313747.0,#231f20,#FEF200
Sporting Kansas City,14979335.0,#002A5C,#93B1D7
New York City FC,14965285.0,#041e42,#6CACE4
FC Dallas,14711587.0,#BF0D3E,#00205B
San Jose Earthquakes,14600008.0,#1f1f1f,#30457a
Minnesota United FC,14569690.0,#585958,#9bcde4
Colorado Rapids,14496437.0,#862633,#8BB8E8
Cincinnati,14348728.0,#003087,#FE5000
Real Salt Lake,14285938.0,#B30838,#013A81
Charlotte,13889425.0,#000000,#1A85C8
Vancouver Whitecaps FC,13626865.0,#04265c,#94C2E4
Philadelphia Union,13419282.0,#002D55,#B38707
New York Red Bulls,11331027.0,#002f65,#e31351
St. Louis City SC,11186787.0,#E0004D,#0C2340
Montreal Impact,10920537.0,#2B63AD,#373536
Orlando City SC,9642918.0,#61259E,#FFE293
