Team,total_missed_games,unique_players_missing,player_most_missed,most_missed_games,total_missed_injured,total_missed_international_duty,total_missed_other,total_missed_suspended,total_missed_games_by_opponent
Atlanta United,85,19,Osvaldo Alonso,22,73,2,3,7,105
Austin FC,76,16,Zan Kolmanic,24,74,0,0,2,108
CF Montreal,99,17,Romell Quioto,17,94,0,1,4,89
Charlotte,113,21,Guzmán Corujo,15,110,2,0,1,121
Chicago Fire FC,119,18,Federico Navarro,19,110,0,0,9,109
Colorado Rapids,135,22,Jack Price,26,121,2,1,11,87
Columbus Crew,96,14,Will Sands,23,92,0,0,4,118
DC United,150,18,Martín Rodríguez,29,143,3,0,4,88
Cincinnati,85,18,Stiven Jimenez,15,73,4,0,8,118
FC Dallas,105,17,Tarik Scott,28,103,1,0,1,114
Houston Dynamo FC,89,16,Ifunanyachi Achara,29,82,2,0,5,118
Inter Miami,181,23,Gregore,25,159,18,1,3,97
LA Galaxy,108,17,Chicharito,21,101,3,0,4,103
LAFC,81,17,Maxime Crépeau,18,71,7,0,3,111
Minnesota United,112,22,Ryen Jiba,29,105,6,0,1,102
Nashville SC,72,11,Nick DePuy,33,65,3,0,4,110
New England Revolution,175,23,Dylan Borrero,21,156,11,5,3,100
New York City FC,41,13,Thiago Martins,7,39,1,1,0,94
New York Red Bulls,118,18,Lewis Morgan,25,106,4,0,8,126
Orlando City,66,12,Favian Loyola,16,63,0,1,2,119
Philadelphia Union,47,13,Kai Wagner,9,39,0,1,7,106
Portland Timbers,163,22,David Ayala,26,150,3,3,7,81
Real Salt Lake,102,18,Zack Farnsworth,25,94,0,5,3,105
San Jose Earthquakes,86,18,Nathan,27,72,5,5,4,96
Seattle Sounders FC,96,21,Kelyn Rowe,13,91,2,1,2,106
Sporting Kansas City,161,19,Kortne Ford,32,155,2,0,4,103
St. Louis City,68,12,Joakim Nilsson,19,65,0,0,3,106
Toronto FC,144,24,Adama Diomande,17,141,0,1,2,78
Vancouver Whitecaps,49,14,Luís Martins,12,43,4,0,2,104
